# root=SPX expiry=2026-12-18 asof=2026-09-23 03:56:05 S0=7764.6401 r=0.04 q=0.00106390621136 T=0.235455167693 F=7836.15132194
K,P,C,source
8375,561.39751,27.6,C
8380,565.75064,27,C
8390,574.5569,25.9,C
8400,583.31316,24.75,C
8425,605.52881,22.2,C
8450,627.94446,19.85,C
8475,650.76011,17.9,C
8500,673.52576,15.9,C
8525,696.69141,14.3,C
8550,719.95706,12.8,C
8575,743.42271,11.5,C
8600,767.03836,10.35,C
8625,790.80402,9.35,C
8650,814.66967,8.45,C
8675,838.63532,7.65,C
8700,862.70097,6.95,C
8725,886.86662,6.35,C
8750,911.03227,5.75,C
8775,935.29792,5.25,C
8800,959.61357,4.8,C
8850,1008.4449,4.1,C
8900,1057.3762,3.5,C
9000,1155.5388,2.6,C
9100,1254.0014,2,C
9200,1352.564,1.5,C
9300,1451.3016,1.175,C
9400,1550.1142,0.925,C
9500,1649.0018,0.75,C
9600,1747.9144,0.6,C
9800,1945.8396,0.4,C
10000,2143.8398,0.275,C
10200,2341.94,0.25,C
